Device: cuda
============================================================
Grokking Baseline — probe run
P=97, seed=42, train_frac=0.4
Arch: d_model=128, n_heads=4, mlp_hidden=512
Optim: AdamW, LR=0.001, WD=0.001, BS=512
Max steps: 100000
============================================================
Train size: 3763, Val size: 5646

Sanity — init val CE: 4.7514  (expected ~4.5747)
Sanity — init weight norm: 117.4293
step= 75000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.018 val_loss=143.9027 | wnorm=577.475 | 475s
step= 75500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=143.9070 | wnorm=577.238 | 478s
step= 76000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=143.7281 | wnorm=576.989 | 481s
step= 76500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=137.8919 | wnorm=576.754 | 484s
step= 77000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.016 val_loss=135.8731 | wnorm=576.554 | 488s
step= 77500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.016 val_loss=135.7335 | wnorm=576.305 | 491s
step= 78000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=129.0203 | wnorm=576.074 | 494s
step= 78500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.016 val_loss=131.0119 | wnorm=575.921 | 497s
step= 79000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.016 val_loss=130.2597 | wnorm=575.673 | 500s
step= 79500 | tr_acc=0.997 tr_loss=0.0442 | val_acc=0.016 val_loss=118.8166 | wnorm=575.497 | 503s
step= 80000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.016 val_loss=122.1423 | wnorm=575.275 | 506s
step= 80500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.016 val_loss=121.3330 | wnorm=575.028 | 509s
step= 81000 | tr_acc=0.998 tr_loss=0.0182 | val_acc=0.017 val_loss=117.3435 | wnorm=574.991 | 512s
step= 81500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=120.1037 | wnorm=574.731 | 516s
step= 82000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=116.7861 | wnorm=574.493 | 520s
step= 82500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=113.6646 | wnorm=574.377 | 523s
step= 83000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=113.5122 | wnorm=574.128 | 526s
step= 83500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.014 val_loss=102.9420 | wnorm=573.922 | 531s
step= 84000 | tr_acc=0.999 tr_loss=0.0006 | val_acc=0.016 val_loss=111.7430 | wnorm=573.704 | 535s
step= 84500 | tr_acc=1.000 tr_loss=0.0002 | val_acc=0.016 val_loss=118.9419 | wnorm=573.500 | 538s
step= 85000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.017 val_loss=121.4965 | wnorm=573.244 | 542s
step= 85500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.017 val_loss=120.4635 | wnorm=572.999 | 545s
step= 86000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.016 val_loss=101.2420 | wnorm=572.825 | 549s
step= 86500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.018 val_loss=109.6769 | wnorm=572.622 | 552s
step= 87000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.017 val_loss=108.6528 | wnorm=572.382 | 555s
step= 87500 | tr_acc=0.999 tr_loss=0.0048 | val_acc=0.018 val_loss=103.6703 | wnorm=572.192 | 558s
step= 88000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.018 val_loss=103.5619 | wnorm=571.896 | 561s
step= 88500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.017 val_loss=102.0230 | wnorm=571.658 | 564s
step= 89000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.017 val_loss=95.9740 | wnorm=571.506 | 567s
step= 89500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.018 val_loss=97.8685 | wnorm=571.243 | 571s
step= 90000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.018 val_loss=97.6385 | wnorm=570.995 | 574s
step= 90500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.018 val_loss=88.5808 | wnorm=570.820 | 577s
step= 91000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.018 val_loss=98.1252 | wnorm=570.607 | 581s
step= 91500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.019 val_loss=98.1034 | wnorm=570.357 | 584s
step= 92000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.020 val_loss=94.2336 | wnorm=570.132 | 587s
step= 92500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.023 val_loss=93.5619 | wnorm=569.975 | 590s
step= 93000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.022 val_loss=93.3216 | wnorm=569.729 | 593s
step= 93500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.022 val_loss=85.4134 | wnorm=569.536 | 597s
step= 94000 | tr_acc=1.000 tr_loss=0.0002 | val_acc=0.021 val_loss=94.5109 | wnorm=569.353 | 600s
step= 94500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.020 val_loss=98.4893 | wnorm=569.086 | 603s
step= 95000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.020 val_loss=98.1150 | wnorm=568.842 | 606s
step= 95500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.020 val_loss=86.6863 | wnorm=568.673 | 609s
step= 96000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.022 val_loss=87.3586 | wnorm=568.491 | 612s
step= 96500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.022 val_loss=87.0377 | wnorm=568.248 | 615s
step= 97000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.022 val_loss=78.3359 | wnorm=568.071 | 618s
step= 97500 | tr_acc=0.999 tr_loss=0.0035 | val_acc=0.026 val_loss=86.7519 | wnorm=567.933 | 622s
step= 98000 | tr_acc=0.999 tr_loss=0.0012 | val_acc=0.021 val_loss=96.3370 | wnorm=567.662 | 625s
step= 98500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.025 val_loss=96.8037 | wnorm=567.429 | 628s
step= 99000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.024 val_loss=95.8119 | wnorm=567.191 | 631s
step= 99500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.023 val_loss=79.9067 | wnorm=567.060 | 634s
step=100000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.022 val_loss=86.6683 | wnorm=566.819 | 637s

============================================================
DONE  |  steps=100000  |  elapsed=637.5s
Final train acc=1.0000  loss=0.0000
Final val   acc=0.0218  loss=86.6683
Grokking onset step: None
Grokking confirmed step: None
Init weight norm: 117.4293  |  Final weight norm: 566.8194
Weight norm ratio (final/init): 4.8269
============================================================

Results saved to results/baseline-00/RESULTS.json
History saved to results/baseline-00/history.json
